time	V(out1)	V(out2)	V(out3)
Step Information: Cap=1p  (Step: 1/4)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.638399953662883e-05	6.066389e-06	9.902274e-06	1.150878e-05
3.276799907325767e-05	2.273365e-04	3.744636e-04	4.458206e-04
6.553599814651534e-05	3.759775e-03	5.893001e-03	6.877729e-03
9.258640960438741e-05	1.555271e-02	2.304693e-02	2.633540e-02
1.177329469294632e-04	3.958960e-02	5.535618e-02	6.192806e-02
1.444771031593779e-04	7.573138e-02	1.001860e-01	1.098716e-01
1.688613244856252e-04	1.124337e-01	1.425113e-01	1.539794e-01
2.056247045740406e-04	1.692459e-01	2.048628e-01	2.178924e-01
2.494948131435025e-04	2.375516e-01	2.777025e-01	2.919120e-01
3.217011363935484e-04	3.501770e-01	3.953520e-01	4.107734e-01
4.333675735362154e-04	5.238689e-01	5.742082e-01	5.907927e-01
6.358403559683036e-04	8.357825e-01	8.920345e-01	9.098574e-01
9.931540699362848e-04	1.369774e+00	1.432280e+00	1.451322e+00
1.703290574056617e-03	2.350405e+00	2.420003e+00	2.440334e+00
2.679853074056617e-03	3.490539e+00	3.565709e+00	3.587000e+00
3.656415574056617e-03	4.308245e+00	4.386474e+00	4.408278e+00
4.632978074056616e-03	4.776267e+00	4.856040e+00	4.878098e+00
5.163074110292297e-03	4.877531e+00	4.957459e+00	4.979555e+00
5.565491780357413e-03	4.873470e+00	4.943212e+00	4.965270e+00
6.120383033927118e-03	4.770114e+00	4.801367e+00	4.823309e+00
6.666672516863132e-03	4.545870e+00	4.540168e+00	4.561981e+00
7.382380000954997e-03	4.098836e+00	4.072607e+00	4.094263e+00
8.188422635457115e-03	3.456001e+00	3.422390e+00	3.443880e+00
9.100854563515875e-03	2.617641e+00	2.577517e+00	2.598825e+00
9.253442454140875e-03	2.467190e+00	2.426174e+00	2.447453e+00
9.314477610390875e-03	2.418399e+00	2.377121e+00	2.398390e+00
9.436547922890875e-03	2.364635e+00	2.323052e+00	2.344303e+00
9.572141773342775e-03	2.344965e+00	2.303242e+00	2.324477e+00
9.713652261415559e-03	2.340277e+00	2.298490e+00	2.319711e+00
1.021041770646095e-02	2.330387e+00	2.288424e+00	2.309606e+00
1.060174635740065e-02	2.325427e+00	2.283356e+00	2.304512e+00
1.138440365928005e-02	2.318241e+00	2.275995e+00	2.297109e+00
1.236096615928005e-02	2.311650e+00	2.269237e+00	2.290315e+00
1.333752865928005e-02	2.306806e+00	2.264290e+00	2.285355e+00
1.431409115928005e-02	2.303143e+00	2.260611e+00	2.281698e+00
1.504173288546191e-02	2.301198e+00	2.258946e+00	2.280283e+00
1.536795367953053e-02	2.309356e+00	2.276103e+00	2.303361e+00
1.589863125659623e-02	2.374456e+00	2.407431e+00	2.460440e+00
1.657695088865958e-02	2.568142e+00	2.795832e+00	2.882504e+00
1.742838800485510e-02	2.961632e+00	3.580592e+00	3.688605e+00
1.840495050485510e-02	3.556725e+00	4.726534e+00	4.844648e+00
1.852702081735510e-02	3.675277e+00	4.897487e+00	5.016284e+00
1.877116144235510e-02	4.008449e+00	5.273326e+00	5.392561e+00
1.925944269235510e-02	4.735151e+00	6.022190e+00	6.141667e+00
1.970308820430442e-02	5.416884e+00	6.708260e+00	6.827795e+00
2.023734787762115e-02	6.243093e+00	7.537989e+00	7.657573e+00
2.121391037762115e-02	7.693244e+00	8.992670e+00	9.112315e+00
2.219047287762115e-02	8.975463e+00	1.027799e+01	1.039767e+01
2.316703537762115e-02	9.971050e+00	1.127553e+01	1.139522e+01
2.414359787762115e-02	1.060546e+01	1.191104e+01	1.203073e+01
2.497522290928410e-02	1.086942e+01	1.217543e+01	1.229508e+01
2.529079065730897e-02	1.090127e+01	1.220479e+01	1.232440e+01
2.585690979276792e-02	1.089104e+01	1.217473e+01	1.229419e+01
2.619156582855158e-02	1.082492e+01	1.204226e+01	1.216160e+01
2.642765105489216e-02	1.076351e+01	1.191938e+01	1.203862e+01
2.689982150757330e-02	1.059734e+01	1.160115e+01	1.172020e+01
2.784416241293560e-02	1.016891e+01	1.083995e+01	1.095863e+01
2.821037335043560e-02	9.878942e+00	1.049549e+01	1.061404e+01
2.869865460043560e-02	9.424026e+00	1.002232e+01	1.014070e+01
2.922240089695722e-02	8.906761e+00	9.497404e+00	9.615626e+00
2.978080835309110e-02	8.333219e+00	8.918854e+00	9.036908e+00
3.075737085309110e-02	7.334815e+00	7.913997e+00	8.031768e+00
3.173393335309110e-02	6.375692e+00	6.949846e+00	7.067344e+00
3.185600366559110e-02	6.264437e+00	6.838088e+00	6.955552e+00
3.210014429059110e-02	6.059480e+00	6.632260e+00	6.749659e+00
3.216117944684110e-02	6.019909e+00	6.592509e+00	6.709893e+00
3.228324975934110e-02	5.980115e+00	6.552473e+00	6.669829e+00
3.252739038434110e-02	5.954013e+00	6.526053e+00	6.643363e+00
3.280028394432120e-02	5.945436e+00	6.517196e+00	6.634460e+00
3.334607106428139e-02	5.936435e+00	6.507694e+00	6.624881e+00
3.432263356428139e-02	5.925487e+00	6.495970e+00	6.613060e+00
3.504503053677440e-02	5.919522e+00	6.489643e+00	6.606778e+00
3.537332311375309e-02	5.924236e+00	6.501150e+00	6.625182e+00
3.590735156059778e-02	5.971409e+00	6.598433e+00	6.772572e+00
3.665753324855447e-02	6.131372e+00	6.921917e+00	7.223564e+00
3.737971979255952e-02	6.376965e+00	7.415939e+00	7.850249e+00
3.747069239793101e-02	6.419839e+00	7.501974e+00	7.946917e+00
3.765263760867400e-02	6.523334e+00	7.709428e+00	8.163271e+00
3.801652803015998e-02	6.749943e+00	8.163347e+00	8.627347e+00
3.874430887313193e-02	7.251989e+00	9.168012e+00	9.642436e+00
3.968633946611300e-02	7.970289e+00	1.057348e+01	1.105563e+01
4.066290196611300e-02	8.802222e+00	1.208842e+01	1.257585e+01
4.078497227861300e-02	8.945566e+00	1.228315e+01	1.277093e+01
4.102911290361300e-02	9.300066e+00	1.266652e+01	1.315448e+01
4.151739415361300e-02	9.982772e+00	1.336614e+01	1.385420e+01
4.237330944018632e-02	1.103535e+01	1.442568e+01	1.491379e+01
4.332670627794072e-02	1.193805e+01	1.533226e+01	1.582039e+01
4.430326877794072e-02	1.252120e+01	1.591751e+01	1.640562e+01
4.503755066025561e-02	1.273460e+01	1.613169e+01	1.661974e+01
4.536114388869460e-02	1.276111e+01	1.615826e+01	1.664625e+01
4.588757077859541e-02	1.276282e+01	1.615966e+01	1.664746e+01
4.620650023637003e-02	1.273027e+01	1.609379e+01	1.658137e+01
4.653431610520056e-02	1.264854e+01	1.592969e+01	1.641703e+01
4.698402707069616e-02	1.249958e+01	1.563116e+01	1.611816e+01
4.739875189492702e-02	1.232948e+01	1.529083e+01	1.577750e+01
4.822820154338873e-02	1.191741e+01	1.446770e+01	1.495373e+01
4.920476404338873e-02	1.137072e+01	1.337728e+01	1.386255e+01
4.963201013713873e-02	1.102658e+01	1.286630e+01	1.335124e+01
4.999822107463873e-02	1.064337e+01	1.246713e+01	1.295182e+01
5.048650232463873e-02	1.014000e+01	1.195434e+01	1.243869e+01
5.146306482463873e-02	9.191368e+00	1.099482e+01	1.147853e+01
5.243962732463873e-02	8.325260e+00	1.012126e+01	1.060432e+01
5.256169763713873e-02	8.229878e+00	1.002515e+01	1.050814e+01
5.280583826213873e-02	8.057781e+00	9.851770e+00	1.033460e+01
5.286687341838873e-02	8.020555e+00	9.814249e+00	1.029704e+01
5.298894373088873e-02	7.972550e+00	9.765755e+00	1.024848e+01
5.323308435588873e-02	7.932592e+00	9.725032e+00	1.020762e+01
5.372136560588873e-02	7.911126e+00	9.702279e+00	1.018461e+01
5.416613058552565e-02	7.903719e+00	9.693788e+00	1.017590e+01
5.498409402090878e-02	7.893434e+00	9.681623e+00	1.016337e+01
5.529408800072908e-02	7.890107e+00	9.677674e+00	1.015931e+01
5.577860617177028e-02	7.901148e+00	9.703451e+00	1.020042e+01
5.648099266384387e-02	7.960775e+00	9.827677e+00	1.038980e+01
5.656777201729477e-02	7.976391e+00	9.859471e+00	1.043781e+01
5.674133072419655e-02	8.021773e+00	9.951261e+00	1.057601e+01
5.708844813800013e-02	8.128036e+00	1.016559e+01	1.089831e+01
5.778268296560727e-02	8.370622e+00	1.065381e+01	1.163173e+01
5.790475327810727e-02	8.418274e+00	1.074953e+01	1.177539e+01
5.833199937185727e-02	8.613714e+00	1.114143e+01	1.233622e+01
5.857613999685727e-02	8.772184e+00	1.145870e+01	1.269576e+01
5.898737066199811e-02	9.068547e+00	1.205169e+01	1.331064e+01
5.941565134839506e-02	9.391962e+00	1.269841e+01	1.396352e+01
5.996006921104351e-02	9.812210e+00	1.353803e+01	1.480769e+01
6.093663171104351e-02	1.056621e+01	1.504327e+01	1.631893e+01
6.136387780479351e-02	1.088167e+01	1.567186e+01	1.694931e+01
6.157750085166851e-02	1.106203e+01	1.598059e+01	1.725869e+01
6.194371178916851e-02	1.153159e+01	1.649077e+01	1.776908e+01
6.234944638783326e-02	1.200860e+01	1.697614e+01	1.825451e+01
6.310307130400231e-02	1.273177e+01	1.770606e+01	1.898446e+01
6.407963380400231e-02	1.336964e+01	1.834861e+01	1.962701e+01
6.494989286927327e-02	1.366660e+01	1.864785e+01	1.992621e+01
6.528137480779578e-02	1.370260e+01	1.868429e+01	1.996260e+01
6.575793766184160e-02	1.370730e+01	1.868908e+01	1.996718e+01
6.652967651116888e-02	1.370917e+01	1.868979e+01	1.996729e+01
6.686536987054388e-02	1.365566e+01	1.858195e+01	1.985897e+01
6.710951049554388e-02	1.356484e+01	1.839988e+01	1.967652e+01
6.737188652770308e-02	1.345562e+01	1.818113e+01	1.945737e+01
6.789663859202148e-02	1.320271e+01	1.767531e+01	1.895073e+01
6.887320109202148e-02	1.266393e+01	1.659955e+01	1.787344e+01
6.984976359202148e-02	1.207630e+01	1.542793e+01	1.670029e+01
7.027700968577148e-02	1.180116e+01	1.489131e+01	1.616299e+01
7.039907999827148e-02	1.169441e+01	1.474222e+01	1.601371e+01
7.064322062327148e-02	1.145222e+01	1.446618e+01	1.573731e+01
7.113150187327148e-02	1.096350e+01	1.395899e+01	1.522939e+01
7.157601803112794e-02	1.054820e+01	1.353709e+01	1.480685e+01
7.246505034684085e-02	9.785378e+00	1.276511e+01	1.403358e+01
7.258712065934085e-02	9.691086e+00	1.266977e+01	1.393807e+01
7.283126128434085e-02	9.530716e+00	1.250762e+01	1.377558e+01
7.331954253434085e-02	9.265046e+00	1.223871e+01	1.350598e+01
7.344161284684085e-02	9.225725e+00	1.219869e+01	1.346579e+01
7.368575347184085e-02	9.198833e+00	1.217061e+01	1.343738e+01
7.417403472184085e-02	9.178319e+00	1.214787e+01	1.341401e+01
7.498719968957378e-02	9.163053e+00	1.212908e+01	1.339420e+01
7.529524234013700e-02	9.158568e+00	1.212335e+01	1.338812e+01
7.578048269852175e-02	9.152747e+00	1.211601e+01	1.338036e+01
7.656597538270107e-02	9.146778e+00	1.211040e+01	1.337632e+01
7.668804569520107e-02	9.149284e+00	1.211629e+01	1.338568e+01
7.690166874207607e-02	9.199148e+00	1.221737e+01	1.353797e+01
7.714580936707607e-02	9.275445e+00	1.237137e+01	1.376961e+01
7.752517208958547e-02	9.411263e+00	1.264483e+01	1.418044e+01
7.828389753460425e-02	9.741873e+00	1.330844e+01	1.513831e+01
7.926046003460425e-02	1.025373e+01	1.433360e+01	1.651694e+01
7.962667097210425e-02	1.052160e+01	1.486902e+01	1.709642e+01
8.011495222210425e-02	1.089969e+01	1.562406e+01	1.786536e+01
8.109151472210425e-02	1.164901e+01	1.711936e+01	1.937137e+01
